timestamp;customer_no;location;spend_time;location_next
2019-09-02 07:02:00;1;entrance;3;dairy
2019-09-02 07:02:00;2;entrance;4;dairy
2019-09-02 07:03:00;1;dairy;3;dairy
2019-09-02 07:03:00;2;dairy;4;dairy
2019-09-02 07:03:00;3;entrance;3;dairy
2019-09-02 07:03:00;4;entrance;5;dairy
2019-09-02 07:03:00;5;entrance;2;spices
2019-09-02 07:03:00;6;entrance;26;spices
2019-09-02 07:03:00;7;entrance;10;spices
2019-09-02 07:03:00;8;entrance;4;fruit
2019-09-02 07:04:00;1;dairy;3;checkout
2019-09-02 07:04:00;2;dairy;4;dairy
2019-09-02 07:04:00;3;dairy;3;dairy
2019-09-02 07:04:00;4;dairy;5;dairy
2019-09-02 07:04:00;5;spices;2;checkout
2019-09-02 07:04:00;6;spices;26;dairy
2019-09-02 07:04:00;7;spices;10;drinks
2019-09-02 07:04:00;8;fruit;4;fruit
2019-09-02 07:05:00;1;checkout;3;checkout
2019-09-02 07:05:00;2;dairy;4;checkout
2019-09-02 07:05:00;3;dairy;3;checkout
2019-09-02 07:05:00;4;dairy;5;dairy
2019-09-02 07:05:00;5;checkout;2;checkout
2019-09-02 07:05:00;6;dairy;26;dairy
2019-09-02 07:05:00;7;drinks;10;drinks
2019-09-02 07:05:00;8;fruit;4;fruit
2019-09-02 07:05:00;9;entrance;8;dairy
2019-09-02 07:05:00;10;entrance;3;fruit
2019-09-02 07:05:00;11;entrance;3;drinks
2019-09-02 07:05:00;12;entrance;5;spices
2019-09-02 07:05:00;13;entrance;11;dairy
2019-09-02 07:05:00;14;entrance;4;fruit
2019-09-02 07:06:00;2;checkout;4;checkout
2019-09-02 07:06:00;3;checkout;3;checkout
2019-09-02 07:06:00;4;dairy;5;dairy
2019-09-02 07:06:00;6;dairy;26;dairy
2019-09-02 07:06:00;7;drinks;10;drinks
2019-09-02 07:06:00;8;fruit;4;checkout
2019-09-02 07:06:00;9;dairy;8;dairy
